,Emotion,Text,Clean_Text
19,surprise,"@JuliaLeader I reeeeeellllyyyyyyy need to tell you something, but guess what. My go phone is fucked up. #gotohellmexicanphone",  reeeeeellllyyyyyyy need tell something guess what phone fucked up #gotohellmexicanphone
20,sadness," Oh , that's too bad . Should I call a doctor ? ",Oh  thats bad  doctor 
21,joy,"When I fell in love with \X\"".  Overnight I felt confidence, self-esteem,    responsible and worthwhile.""",fell love \X\ Overnight felt confidence selfesteem responsible worthwhile
22,fear,"is a primitive #Instinct that's your friend.It warns you to pay attention when ur in danger,it tells you to do or act to save yourself",primitive #Instinct thats friendIt warns pay attention ur dangerit tells act save
23,anger,I have to talk to you ! ,talk 
24,fear,I was riding with a friend in his car. At a speed of 120 km/h on the snow-covered motorway I would have liked to get out.,riding friend car speed 120 km/h snowcovered motorway liked out
25,sadness,you're so welcome @madelineerich8! so glad I could make your night! love you. please don't leave me :( i'm gonna miss you so much! ,welcome   glad night love you leave :( im gonna miss much
26,surprise,another ending? i almost pooped my pants at the end of last weeks crazy ending!  #dEcodEd,ending pooped pants end weeks crazy ending #dEcodEd
27,joy,One could get terribly ecstatic but that would be a dangerous thing to do . ,terribly ecstatic dangerous thing 
28,sadness,So much for losing something.. Going to fat burger for dinner with dad   ,losing something Going fat burger dinner dad
29,joy,When I was selected to study here at university.,selected study university
30,joy," Yeah , it ’ s been ages ! So how have you been ? ",Yeah  ’ ages  
31,fear,is a friend that you misunderstood but I know the #heartoflife is good..,friend misunderstood know #heartoflife good
32,fear,@nicolescherzy @nicosherzinger &  &#xA;&#xA;Add those three things up and you have a symptom called #NERVOSO &#xA;&#xA;u wanna learn [:,     #xA#xAAdd things symptom called #NERVOSO #xA#xAu wanna learn [:
33,shame,"Nobody doubted him , or failed to recognise his temporary financial embarrassment . ",doubted  failed recognise temporary financial embarrassment 
34,fear,The bank had made no secret of their dismay over Virgin 's venture into airlines . ,bank secret dismay Virgin s venture airlines 
35,joy,When I passed the B.A exams with first class results.,passed BA exams class results
36,sadness,homies all go to ride ponies... I look at them like a sad puppy #wanttoride #ankleneedstoheal,homies ride ponies look like sad puppy #wanttoride #ankleneedstoheal
37,surprise,pop out &amp; roll across the floor !,pop amp roll floor 
38,sadness,OMG its December 5th and the windows are open at my house. Mr. Winter where are you. Jack frost is missing too. ,OMG December 5th windows open house Mr Winter you Jack frost missing too
39,surprise,alleen nog even morgen cadootjes kopen in stadje en dan helemaal klaar ,alleen nog morgen cadootjes kopen stadje en dan helemaal klaar
40,surprise," I'm not from this planet, I'm from one of the other planets that hold life &amp; are just being discovered. ",Im planet Im planets hold life amp discovered
41,anger,"When you kill yourself with work and see the number of slakers wandering around, doing nothing.",kill work number slakers wandering around nothing
42,fear,Few years ago my father was very ill. He stayed at a hospital for a long time. Then I experienced that terrible feeling that I might lose him.,years ago father ill stayed hospital long time experienced terrible feeling lose him
43,sadness, I thought they had already agreed to everything . That ’ s going to take weeks to rework . ,thought agreed  ’ going weeks rework 
44,anger,My parents didn't allow me to go to a social function that all my friends were attending.,parents allow social function friends attending
45,fear,"&quot;The family is the bedrock of our society. Unless we protect it with the institution of marriage, our country will fall.&quot;  ",quotThe family bedrock society protect institution marriage country fallquot
46,sadness,Bro team lost... .... Least he played with swag... #freshcut,Bro team lost  played swag #freshcut
47,joy,When I heard that I had been selected fot the first year at the university of Zambia.  This was after my form five at Chikola secondary school.,heard selected fot year university Zambia form Chikola secondary school
48,anger,"When someone tried to rape one of my best friends and he claimed it was her fault. He the hassled her, claimed she was loose, and threatened to sue her.",tried rape best friends claimed fault hassled her claimed loose threatened sue her
49,joy,Welp time to study for the next few days... ,Welp time study days
50,joy,Heading to campus in the rain to take grad photos ,Heading campus rain grad photos
51,fear,My own dismay at the way those kids were savaging the flora of Stonethwaite is a good example . ,dismay way kids savaging flora Stonethwaite good example 
52,sadness,That moment of terror when you go to drink your hot chocolate knowing its about to burn your mouth. ,moment terror drink hot chocolate knowing burn mouth
53,sadness," Well , I am under a lot of pressure . My boss is very pushy . He assigned me three projects . Now the deadlines are near , and I still have not finished all of my projects . ", lot pressure  boss pushy  assigned projects  deadlines near  finished projects 
54,sadness,Sink is broken so no  2night: Was going to be lamb..now just pbj! ,Sink broken 2night: going lambnow pbj
55,sadness,I apparently lost my best-friend.. ,apparently lost bestfriend
56,fear,“@mattmosley: This is the shakiest 14-point lead in history of college football.” lol ,“  shakiest 14point lead history college football” lol
57,fear,"People who get trapped in an elevator actually do take the stairs next time,, don let take over and wear you down .. #quote #life",People trapped elevator actually stairs time let wear  #quote #life
58,sadness,I very rarely am in desperate need of someone to talk to. Tonight is one of those nights. Everyone is sleeping. I'm at a loss. ,rarely desperate need talk to Tonight nights sleeping Im loss
59,sadness,When I was a Sr. in HS. one of the class counselors died of hepatitis. She was very sensitive. She knew my shyness and drew me out to improve myself image. I missed her funeral - so I could not publically grieve. My parents didn't understand.,Sr HS class counselors died hepatitis sensitive knew shyness drew improve image missed funeral  publically grieve parents understand
60,surprise,Good Morning  What Do You Have In Store For Me Today?!?!... #EnjoyTheDay,Good Morning Store Today #EnjoyTheDay
61,neutral," My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . ",motherinlaw thing  disciplining  disciplining  complained food fed  schools sent  sun 
62,joy, I am feeling awesome .,feeling awesome 
63,joy,@TheBodyShopUK brings me - I've just bought all my Christmas presents and I didn't have to trawl loads of shops! :),  brings  Ive bought Christmas presents trawl loads shops :)
64,surprise,I almost forgot my hair was red until I looked in the mirror ,forgot hair red looked mirror
65,fear,When I heard that my father had found a letter from my boyfriend and he was calling me to talk about it.,heard father found letter boyfriend calling talk it
66,fear,results from seeing ourselves walk into a situation w/o the LORD. FAITH is realizing that HE gets there b4 we do.,results seeing walk situation w/o LORD FAITH realizing gets b4 do
67,fear,She shot him a horrified look . ,shot horrified look 
68,neutral," Well , I didn't think so at first . But as we started talking , I found him extremely funny and witty . I couldn't stop laughing at his jokes ! And we have so much in common . We like the same team , music , and most amazingly , we both love Chinese food ! I have the feeling that we are going to be great friends . ", think  started talking  found extremely funny witty  stop laughing jokes  common  like team  music  amazingly  love Chinese food  feeling going great friends 
69,fear,Not applicable to myself.,applicable myself
70,joy,I just shit my pants. Pure 100% gravy. ,shit pants Pure 100% gravy
71,joy,"For once in his life , Leopold must have been truly happy : his hopes and prayers for his beloved son seemed at last to have come to fruition . ",life  Leopold truly happy : hopes prayers beloved son come fruition 
72,fear,Two years ago I saw a film on the TV. Even now it makes me afraid.,years ago saw film TV makes afraid
73,joy,Class then jamming out my last paper of the quarter.  No reason to celebrate though. Studying will begin right after. ,Class jamming paper quarter reason celebrate though Studying begin right after
74,sadness,"NOOOOOO, no pongan super torpe a las 9 de la mañana, entendemos que nadie lo ve, pero yo sí! y no me voy a levantar para verlo ",NOOOOOO pongan super torpe las 9 de la mañana entendemos que nadie lo ve pero yo sí voy levantar para verlo
75,fear,Seeing a stray dog run right pass you on Morehouse campus.. ,Seeing stray dog run right pass Morehouse campus
76,neutral, Once in a while . ,
77,anger,Side effect of not smoking reefer. ,effect smoking reefer
78,fear,When I was 12 years old I frequently was pursued by others and got sound thrashes.,12 years old frequently pursued got sound thrashes
79,fear,“@FrankyFade: The team is hot  @andrealandis @iammynority @FRISCOLOPEZ @iamthefabian” yes sir,“  team hot         yes sir
80,fear,"Dad , I'm scared . ",Dad  Im scared 
81,joy,I can't wait to just sleep in tomorrow! I must study tonight and tomorrow and the next night oh and 3 essays due!,cant wait sleep tomorrow study tonight tomorrow night oh 3 essays due
82,anger,is a juvenile emotion that even the most simple minded creature can express,juvenile emotion simple minded creature express
83,anger,"Suppressing her annoyance at being called "" Little Sara "" , she replied that all was well . ",Suppressing annoyance called  Little Sara   replied 
84,joy,Now time to unpack and finish some homework ,time unpack finish homework
85,surprise,Stopped today for gas in a small town to my an attendant came to tell me &quot;we are full #service. Do you young #tweeters have a clue,Stopped today gas small town attendant came tell quotwe #service young #tweeters clue
86,surprise,Can't wait for @siobhanshannonx to open her christmas prezzie #christmas,Cant wait   open christmas prezzie #christmas
87,surprise,Decorating the entire house with christmas cheer for my mommy. ,Decorating entire house christmas cheer mommy
88,anger,Sly was left feeling absolutely livid . ,Sly left feeling absolutely livid 
89,surprise,Iemand nog surprise idee voor een vrouw? ,Iemand nog surprise idee voor een vrouw
90,disgust,"@wt2themax1 I'm sorry my blanket isn't comfortable enough for you, that kid isn't #hehasfeelingstoo so what if he eats his scabs...",  Im sorry blanket comfortable you kid #hehasfeelingstoo eats scabs
91,anger,I had left a student newspaper of the Chinese university on the table of the library.  It had disappeared when I came back.,left student newspaper Chinese university table library disappeared came back
92,joy,"At a choral concert I appeared as a solist. The concert5 was very good, I forgot all the hard work that had been done before. There remained only an undescribable joy and a feeling of warmth, security etc.",choral concert appeared solist concert5 good forgot hard work before remained undescribable joy feeling warmth security etc
93,fear,@TShavonne Girl a picture of that book is in my Twitter pics lol. Nah i haven't used it...or rather tried it lol ,  Girl picture book Twitter pics lol Nah itor tried lol
94,surprise,The trouble comes when you realise you've gone from watching reruns to living one. #oh,trouble comes realise gone watching reruns living one #oh
95,sadness,"He glanced up , saw Auguste 's anguished eyes , and thought he understood . ",glanced  saw Auguste s anguished eyes  thought understood 
96,joy,The world can't give you only happiness. One last a lot longer. #GoFigure,world cant happiness lot longer #GoFigure
97,anger,He dipped the cotton wool in the water and dabbed at the livid puffy eyes . ,dipped cotton wool water dabbed livid puffy eyes 
98,sadness,"` I am sad we have not been afforded the same welcome given to the Beirut hostages , "" he told a deeply moved audience at the AGM last month . ", sad afforded welcome given Beirut hostages   told deeply moved audience AGM month 
99,joy,Oh early morning preachings by my father ,Oh early morning preachings father
100,joy,If you are robbed of during tribulation it is because u hav not entered into the means He has provided for Joy #prayer Communion w God,robbed tribulation u hav entered means provided Joy #prayer Communion w God
101,surprise,@Ally1kinobi thought I'd stop by and say I CAN SPEND CHRISTMAS HOLIDAYS WITH YOU NOW AT THE LAKE. Miss you! ,  thought Id stop SPEND CHRISTMAS HOLIDAYS LAKE Miss you
102,joy,"Good morning , Jim ! ",Good morning  Jim 
103,fear,Not afraid of tomorrow for I saw yesterday and I love today #less,afraid tomorrow saw yesterday love today #less
104,anger, They soud like the neighbours from hell ! ,soud like neighbours hell 
105,joy,If chris Paul sum how goes to the clippers. Idk I'll lose it ,chris Paul sum goes clippers Idk Ill lose
106,surprise,chocomousse vergt 175 ml slagroom. dat heb ik dus niet in huis - en je moet het met de hand kloppen. niet met een mixer. kansloos.,chocomousse vergt 175 ml slagroom dat heb ik dus niet huis  en je moet het met de hand kloppen niet met een mixer kansloos
107,sadness,"The time I lost a badminton match, that I should have won at the Zambia closed badminton championships.",time lost badminton match Zambia closed badminton championships
108,joy,"The advertisements appeared in Novoye Russkoye at the weekend , causing a buzz of excitement in the Soviet expatriate enclave of Brighton Beach , also known as Little Odessa . ",advertisements appeared Novoye Russkoye weekend  causing buzz excitement Soviet expatriate enclave Brighton Beach  known Little Odessa 
109,fear,My and #anxiety is lifted. I think I'm going to pass #statistics and maybe even do half decent. Got a 90% on the third #exam,#anxiety lifted think Im going pass #statistics maybe half decent Got 90% #exam
110,joy,Thrilled to reunite with my best friend today! It's raining though and we have to find our way to a theater for a dance show downtown. ,Thrilled reunite best friend today raining find way theater dance downtown
111,sadness," Not from this brand , I'm afraid . ",brand  Im afraid 
112,fear,I can not wait till factor I LOVE THAT SHOW!!!!!! Missed watching it :-),wait till factor LOVE SHOW Missed watching :)
113,joy,"Study all day tomorrow, most of the day Saturday and Sunday. ",Study day tomorrow day Saturday Sunday
114,neutral, So ? ,
115,sadness,Just saw an empty Summer Shandy box next to my Aunt's fridge. But no Liene to be found ,saw Summer Shandy box Aunts fridge Liene found
116,fear,Nearly a year later I'm driving on freeways at rush hour without any fear!!!  I conquered my with #confidence! Feels great!,Nearly year later Im driving freeways rush hour fear conquered #confidence Feels great
117,sadness,"Her voice shook , her face was white with anguish . ",voice shook  face white anguish 
118,sadness,"going loner to target, panache and hob lob...",going loner target panache hob lob
119,joy,"This would normally push up her heart rate but with her pulse already racing due to the alcohol , dancing and general party excitement the increase is not as noticeable as normal . ",normally push heart rate pulse racing alcohol  dancing general party excitement increase noticeable normal 
120,anger,"His teachers were suspicious of his popularity , annoyed by his lack of interest in academic work and infuriated that he could still achieve high marks in examinations . ",teachers suspicious popularity  annoyed lack interest academic work infuriated achieve high marks examinations 
121,anger,"When they broke the artistic work of several weeks.  Changes were made and it was broken without permission, they had no right to do this.",broke artistic work weeks Changes broken permission right this
122,surprise,Net halfuur bezig geweest bij de kraan om de lijm erg te krijgen  #Dinnetjes,Net halfuur bezig geweest bij de kraan om de lijm erg te krijgen #Dinnetjes
123,joy,"Took a nap for a few hours, now watching Christmas movies  ",Took nap hours watching Christmas movies
124,sadness,"For the owner , it can mean heartbreak at the loss of a family pet . ",owner  mean heartbreak loss family pet 
125,fear,"Tiens, y a de la taurine dans les croquettes Friskies chat d'intérieur. #miaou",Tiens de la taurine dans les croquettes Friskies chat dintérieur #miaou
126,anger, It is impossible . You cheated on me . ,impossible  cheated 
127,sadness,"No afternoon nap for me, burning my episodes into DVD to prepare for Stu the Hard Drive's reformat. :(",afternoon nap me burning episodes DVD prepare Stu Hard Drives reformat :(
128,joy,ill be working from 9pm-6am on black Friday ,ill working 9pm6am black Friday
129,neutral, Nothing . ,
130,fear,I was at home and we were sleeping when we heard some robbers breaking into our house.,home sleeping heard robbers breaking house
131,sadness,@MWScripts WANT ENGLISH BULLDOG PUPPY.   ,  WANT ENGLISH BULLDOG PUPPY
132,anger,I will be the most disappointed if they actually consider Taylor Swift for the role of Eponine in the movie version of Les Mis.... ,disappointed actually consider Taylor Swift role Eponine movie version Les Mis
133,joy,@sabambury I wish everyone saw Church as a highlight of Christmas! ,  wish saw Church highlight Christmas
134,disgust,"It linked the poor performance with the exodus to the West of more than 330,000 East Germans disgruntled with Communism . ",linked poor performance exodus West 330000 East Germans disgruntled Communism 
135,sadness,In an expression of community sympathy many local children in South Ronaldsay made and sent cards to the four devastated mothers . ,expression community sympathy local children South Ronaldsay sent cards devastated mothers 
136,sadness,3:30am my guy friend was gonna come up to my window. and I fell asleep  before he came. :( ,3:30am guy friend gonna come window fell asleep came :(
137,sadness,"2   &amp; = make pleasant, wonderful #memories right now! &#xA;#recovery #survivors #stopabuse #ptsd #livefree",2 amp = pleasant wonderful #memories right now #xA#recovery #survivors #stopabuse #ptsd #livefree
138,joy,"Some people bring joy wherever they go, and some people bring joy whenever they go.— Mark Twain   ",people bring joy go people bring joy go— Mark Twain
139,joy,yaay! my brother said he'll play badminton with me tomorrow :D ,yaay brother said hell play badminton tomorrow :D
140,neutral,You'd better prepare for the examination . ,better prepare examination 
141,joy,Going to a concert.,Going concert
142,fear,"There was public disquiet , questions in the Commons and an enquiry ordered into Jeffrey 's whereabouts . ",public disquiet  questions Commons enquiry ordered Jeffrey s whereabouts 
143,anger,"I was informed by my flatmate that, when we'd moved into our flat, she'd expected us to buy our food separetely - this event actually happened some 5 months after our sharing began. Prior to this, she had said nothing.",informed flatmate that wed moved flat shed expected buy food separetely  event actually happened 5 months sharing began Prior this said nothing
144,fear,"«@RevRunWisdom not afraid of tomorrow, for I have seen yesterday and I love today #less»",«  afraid tomorrow seen yesterday love today #less»
145,anger,"Don't get the impression that you arouse my anger. You see, one can only be angry with those he respects. ~Richard M. Nixon ",impression arouse anger see angry respects ~Richard M Nixon
146,joy," We do many things . In the morning , we go swimming and boating . In the afternoon , we play basketball or tennis . We sit around a camp fire at night.We sing or tell stories . ",things  morning  swimming boating  afternoon  play basketball tennis  sit camp fire nightWe sing tell stories 
147,joy,Arabic coffee what can I do to make you happy. ,Arabic coffee happy
148,fear,"I feel afraid of the way a great friend looks at me, and also a little afraid of the directions that it's going.",feel afraid way great friend looks me little afraid directions going
149,surprise,"Met z'n 4en Sint gekeken, nu lekker slapen, en morgen surprise weggeven en ontvangen in Lopik!   ",Met zn 4en Sint gekeken nu lekker slapen en morgen surprise weggeven en ontvangen Lopik
150,joy,Morning tweeps.. Hope you guys have a great filled with and #happyness,Morning tweeps Hope guys great filled #happyness
151,joy,When I received the first year results as the first year had involved a lot of work and I was very pleased when I got the results.,received year results year involved lot work pleased got results
152,sadness,Just got back from my last history class until next semestre. ,got history class semestre
153,surprise,"&quot;I'm gonna love you, Till the stars fall from the sky for you and I&quot;  ",quotIm gonna love you Till stars fall sky Iquot
154,anger,"A terrible , furious , impotent anger filled him , making him want to strike out , to shout and scream . ",terrible  furious  impotent anger filled  making want strike  shout scream 
155,sadness,Another day spent in my bed. I really should get a life. ,day spent bed life
156,fear,Concered my of hights today! Went all the way to the top of climbing! Sooo proud and beat enrique on quad biking!:D love my girls x,Concered hights today Went way climbing Sooo proud beat enrique quad biking:D love girls x
157,anger,When I was a soldier I quarrelled with my commander and may be in revenge for this he detailed me on duty two successive nights. Naturally he checked me up on the second night and found me asleep for which he sent me to the cells.,soldier quarrelled commander revenge detailed duty successive nights Naturally checked second night found asleep sent cells
158,surprise,Getting ready for a baby shower at work. Here's hoping no one at work is following me on twitter hahaha Surprise!!,Getting ready baby shower work Heres hoping work following twitter hahaha Surprise
159,neutral, Not really ! ,
160,joy,Lady A concert with @KDClapp06 by some sketchy people. ,Lady concert   sketchy people
161,neutral, To the beach ,beach
162,sadness,I want you and Sheila to know how very much I appreciate the kindness shown to me in my earlier mood of despondency . ,want Sheila know appreciate kindness shown earlier mood despondency 
163,neutral, Everyone from school . ,school 
164,anger," No , I just check my weight , I'm getting fatter . ", check weight  Im getting fatter 
165,fear,Dnt believe the lies look me in my eyes plz dnt b scared of me..  i miss the deep #Drake,Dnt believe lies look eyes plz dnt b scared me miss deep #Drake
166,joy,When I passed my form three exams.,passed form exams
167,anger,I laughed -- I did n't feel offended . ,laughed  nt feel offended 
168,joy,"my throat is on fire.. guess i'll be going to the doctor tomorrow. in other news, tonight was a successful night(: praise God !",throat fire guess ill going doctor tomorrow news tonight successful night(: praise God 
169,neutral," Yes , there are something good and informative . I think that many people underestimate the value of TV in education . ",Yes  good informative  think people underestimate value TV education 
170,fear,"is strong. #Darkness is strong. A #Soul is a pure bright, brave beam of light.",strong #Darkness strong #Soul pure bright brave beam light
171,fear," Steven , I ... ",Steven  
172,joy,On meeting an old friend of mine.,meeting old friend mine
173,joy,"No matter how old i am, anytime i have a leaf blower i will air blast the closest person to me. Brings me ",matter old am anytime leaf blower air blast closest person me Brings
174,fear,@MarkParkinson80 now that man is a proper genius ,  man proper genius
175,fear,When I thought that I had failed the examination.,thought failed examination
176,surprise,Even though I'm mean af to this person I'm still buying them something.... I guess I should them,Im mean af person Im buying something guess
177,joy,Since I passed the DMCT last year I get to spend my math hour doing absolutely nothing in the library.. ,passed DMCT year spend math hour absolutely library
178,sadness,"When I became conscious that men don't wnat anything they don't have a goal. They have: sex, but this isn't important.",conscious men wnat goal have: sex important
179,surprise,@nickensimontwit Hoe kan je gemakkelijk een gitaar namaken van karton? ,  Hoe kan je gemakkelijk een gitaar namaken van karton
180,joy," Well , it's a special day . They say if you survive the first year , the rest is smooth sailing . ", special day  survive year  rest smooth sailing 
181,surprise,My aunt is coming from  for a visit during   What a nice that will be!!,aunt coming visit nice be
182,sadness,They all seem terribly sad . ,terribly sad 
183,sadness,"During the days that followed Brackenbury 's hasty departure , Edward 's despondency increased . ",days followed Brackenbury s hasty departure  Edward s despondency increased 
184,surprise,"@TheyCallMeTiny2 ransacked meadows/brewhouse last night for all it was worth,  opened up the wallet though, ",  ransacked meadows/brewhouse night worth opened wallet though
185,anger,My father promised me a bicycle for my birthday. Just before my birthday he forgot he promised this to me.,father promised bicycle birthday birthday forgot promised me
186,anger,Auguste shot him an indignant glance . ,Auguste shot indignant glance 
187,fear,of losing my spark haunts me everyday,losing spark haunts everyday
188,anger,"I worked with several classmates on a project.  I was very anxious about the project while my partners showed no concern  and when we had meetings on the project my classmates  did not pay any attention.  Some of them read books while the others argued on irrelevant questions.  The meeting would go on for two hours without the main theme being discussed.  We wasted time and could not reach a compromise.  My classmates avoided doing the work and the responsibilities, they seemed to value other projects more than this one.",worked classmates project anxious project partners showed concern meetings project classmates pay attention read books argued irrelevant questions meeting hours main theme discussed wasted time reach compromise classmates avoided work responsibilities value projects one
189,fear,F.E.A.R. = False Evidence Appearing Real   ,FEAR = False Evidence Appearing Real
190,joy,When my son returned from mountaineering - healthy in body and soul.,son returned mountaineering  healthy body soul
191,fear,water level rising near my home  #Flooding,water level rising near home #Flooding
192,joy,On my way to clean the mess that was made at Urban today. ,way clean mess Urban today
193,anger,When my kid brother broke my reading spectacles.,kid brother broke reading spectacles
194,anger," Really , Mary , you ’ re horrible . ", Mary  ’ horrible 
195,fear,When I close my eyes I wont wake up! !  #truth,close eyes wont wake up  #truth
196,neutral,What ’ s up ? You don ’ t look too good . ,’  ’ look good 
197,disgust,ewww she got that nasty ass default like she cute ,ewww got nasty ass default like cute
198,joy,So now I am doomed to forget something. I just have that shitty luck. ,doomed forget something shitty luck
199,fear,"america is the new north korea, china, germany and russia. we're the military controlled, self-spying, censoring paranoid antagonists. ",america new north korea china germany russia were military controlled selfspying censoring paranoid antagonists
200,sadness,Then the toot of a trumpet and the clown with the enormous sorrowful eyes was coming at her in her ring-side seat and she wanted to run away . ,toot trumpet clown enormous sorrowful eyes coming ringside seat wanted run away 
201,joy,More lifeguard training tomorrow evening. ,lifeguard training tomorrow evening
202,sadness,When an earlier friend was spreading negative rumours about me.,earlier friend spreading negative rumours me
203,anger,The newcomers feel cold-shouldered by the local population on occasions and become resentful of their almost tribal clannishness . ,newcomers feel coldshouldered local population occasions resentful tribal clannishness 
204,disgust,I understand the mood but if some of them are disgruntled they are entitled to call an EGM . ,understand mood disgruntled entitled EGM 
205,joy," Seein' folks,  overcome limitations, by seeing that THEY can be who they DREAM! That their capacity for is the compass!",Seein folks overcome limitations seeing DREAM capacity compass
206,joy,my birthday and christmas are right around the corner and i have no idea what i want ,birthday christmas right corner idea want
207,sadness,Its funny how people who follow you eventually unfollow you only because you never followed them back. ,funny people follow eventually unfollow followed back
208,surprise,aww one of my mom's old special ed students from like 6 years ago came and visited her!! soo cute! that just made her day :),aww moms old special ed students like 6 years ago came visited her soo cute day :)
209,sadness,"` I used to be sad and pathetic , but I 'm not so miserable any more . ", sad pathetic  m miserable 
210,joy,Bought my first xmas gifts today!! So full of I love christmas time!!,Bought xmas gifts today love christmas time
211,anger,"` What did you mean , Rachel ? "" her mother asked slowly , ignoring her husband 's indignant look . ", mean  Rachel   mother asked slowly  ignoring husband s indignant look 
212,joy,"As I type, I get texts... baby is fine (moving &amp; heart beating) Since she is O-, they've given a RH shot, to be safe. THE BABY IS FINE! ",type texts baby fine (moving amp heart beating) O theyve given RH shot safe BABY FINE
213,joy,thanksgiving: spending the night at the emegency room. ,thanksgiving: spending night emegency room
214,surprise,@k_tray so your harry potter dressed professor hates sex... ,  harry potter dressed professor hates sex
215,sadness,my mom asked me if cole caught a deer this year... mom you kill deer...,mom asked cole caught deer year mom kill deer
216,joy,Today has been so off. Time to work in crutches tomorrow ,Today off Time work crutches tomorrow
217,joy,(MIRACLE SCRIPTURE 700 B.C.) Behold the virgin shall conceive &amp; bear a Son &amp; shall call His name Immanuel  Is. 7:14     ,(MIRACLE SCRIPTURE 700 BC) Behold virgin shall conceive amp bear Son amp shall Immanuel Is 7:14
218,fear, Talks Going Well? Most Pissed Off with  Play Acting and Playing Dangerous Games #FLASHMEN? #skynews #skypapers,Talks Going Well Pissed Play Acting Playing Dangerous Games #FLASHMEN #skynews #skypapers
219,fear,"One morning of hard graft left, then 8 days of sun, food and bevy. just need to get through the plane journey, scary shit that like. ",morning hard graft left 8 days sun food bevy need plane journey scary shit like
220,anger,When I saw my brother being attacked and I could not do anything.,saw brother attacked anything
221,fear,"He 's concerned what will happen to me . "" ",s concerned happen  
222,sadness,I'm so happy  @Harley_Cope5 never says she's thankful for me to be one of her best friends. ,Im happy   says thankful best friends
223,sadness,When he wondered this he felt a deep sadness . ,wondered felt deep sadness 
224,fear,"Good day at the gym, bringin that  and that  but leavin that ",Good day gym bringin leavin
225,joy,@Mrctn615 we wear the crown cuz we deserve it! ,  wear crown cuz deserve it
226,sadness,Andare a fare shopping e tornare a mani vuote a casa... ,Andare fare shopping e tornare mani vuote casa
227,neutral," Don't be so irritable . I just don't understand the program , that's all . ",irritable  understand program  thats 
228,joy,"On holiday, seeing the lanscape in Girona.",holiday seeing lanscape Girona
229,anger,Pretty sure Kiss only ever play about 3 different songs. And they're TGIF remix pisses me off. And they say 'Gwetta' and 'Agwilera'. ,Pretty sure Kiss play 3 different songs theyre TGIF remix pisses off Gwetta Agwilera
230,joy,Minute shards of glass slashed across Rohmer 's ecstatic face . ,Minute shards glass slashed Rohmer s ecstatic face 
